74, 74, 74, 76, 74, 74, 74, 74, 74, 74, 74, 73, 73, 74, 76, 76, 74, 0, 0, 79, 79, 79, 79, 81, 81, 79, 79, 79, 78, 78, 76, 79, 79, 0, 0, 76, 76, 76, 79, 78, 74, 74, 79, 79, 79, 81, 79, 78, 79, 76
74, 74, 76, 74, 74, 74, 74, 74, 74, 74, 73, 73, 74, 76, 76, 74, 0, 0, 79, 79, 79, 79, 81, 81, 79, 79, 79, 78, 78, 76, 79, 79, 0, 0, 76, 76, 76, 79, 78, 74, 74, 79, 79, 79, 81, 79, 78, 79, 76, 74
74, 76, 74, 74, 74, 74, 74, 74, 74, 73, 73, 74, 76, 76, 74, 0, 0, 79, 79, 79, 79, 81, 81, 79, 79, 79, 78, 78, 76, 79, 79, 0, 0, 76, 76, 76, 79, 78, 74, 74, 79, 79, 79, 81, 79, 78, 79, 76, 74, 0
76, 74, 74, 74, 74, 74, 74, 74, 73, 73, 74, 76, 76, 74, 0, 0, 79, 79, 79, 79, 81, 81, 79, 79, 79, 78, 78, 76, 79, 79, 0, 0, 76, 76, 76, 79, 78, 74, 74, 79, 79, 79, 81, 79, 78, 79, 76, 74, 0, 76
74, 74, 74, 74, 74, 74, 74, 73, 73, 74, 76, 76, 74, 0, 0, 79, 79, 79, 79, 81, 81, 79, 79, 79, 78, 78, 76, 79, 79, 0, 0, 76, 76, 76, 79, 78, 74, 74, 79, 79, 79, 81, 79, 78, 79, 76, 74, 0, 76, 78
74, 74, 74, 74, 74, 74, 73, 73, 74, 76, 76, 74, 0, 0, 79, 79, 79, 79, 81, 81, 79, 79, 79, 78, 78, 76, 79, 79, 0, 0, 76, 76, 76, 79, 78, 74, 74, 79, 79, 79, 81, 79, 78, 79, 76, 74, 0, 76, 78, 78
74, 74, 74, 74, 74, 73, 73, 74, 76, 76, 74, 0, 0, 79, 79, 79, 79, 81, 81, 79, 79, 79, 78, 78, 76, 79, 79, 0, 0, 76, 76, 76, 79, 78, 74, 74, 79, 79, 79, 81, 79, 78, 79, 76, 74, 0, 76, 78, 78, 79
74, 74, 74, 74, 73, 73, 74, 76, 76, 74, 0, 0, 79, 79, 79, 79, 81, 81, 79, 79, 79, 78, 78, 76, 79, 79, 0, 0, 76, 76, 76, 79, 78, 74, 74, 79, 79, 79, 81, 79, 78, 79, 76, 74, 0, 76, 78, 78, 79, 81
74, 74, 74, 73, 73, 74, 76, 76, 74, 0, 0, 79, 79, 79, 79, 81, 81, 79, 79, 79, 78, 78, 76, 79, 79, 0, 0, 76, 76, 76, 79, 78, 74, 74, 79, 79, 79, 81, 79, 78, 79, 76, 74, 0, 76, 78, 78, 79, 81, 78
74, 74, 73, 73, 74, 76, 76, 74, 0, 0, 79, 79, 79, 79, 81, 81, 79, 79, 79, 78, 78, 76, 79, 79, 0, 0, 76, 76, 76, 79, 78, 74, 74, 79, 79, 79, 81, 79, 78, 79, 76, 74, 0, 76, 78, 78, 79, 81, 78, 74
74, 73, 73, 74, 76, 76, 74, 0, 0, 79, 79, 79, 79, 81, 81, 79, 79, 79, 78, 78, 76, 79, 79, 0, 0, 76, 76, 76, 79, 78, 74, 74, 79, 79, 79, 81, 79, 78, 79, 76, 74, 0, 76, 78, 78, 79, 81, 78, 74, 78
